County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides,Poverty %,Poverty % (U18),MedHHInc,PopDen
"Nacogdoches County, TX",719373.0,26.0,35.0,68.0,107.0,20.8,25.7,"46,970",26.74120542
"Napa County, CA",1534331.0,11.0,21.0,81.0,188.0,9.0,10.1,"94,127",72.50862772
"Nash County, NC",1042202.0,82.0,107.0,82.0,133.0,14.8,22.3,"55,956",67.15748107
"Nassau County, FL",881824.0,38.0,44.0,119.0,187.0,9.9,14.3,"78,069",47.960964
"Nassau County, NY",14902939.0,168.0,279.0,266.0,1010.0,6.1,6.9,"125,118",1840.443984
"Natchitoches Parish, LA",428582.0,44.0,58.0,41.0,51.0,22.3,27.6,"43,381",12.01309757
"Natrona County, WY",875586.0,29.0,43.0,139.0,245.0,10.7,13.0,"63,940",5.827834773
"Navajo County, AZ",1198104.0,64.0,156.0,174.0,381.0,24.8,33.8,"49,057",4.218261644
"Navarro County, TX",535920.0,19.0,24.0,60.0,102.0,16.0,22.3,"51,015",18.57904398
"Nelson County, KY",495941.0,13.0,17.0,55.0,87.0,10.7,14.0,"62,036",41.97326654
"Neshoba County, MS",323725.0,20.0,35.0,42.0,54.0,21.2,31.1,"44,008",19.89379786
"Nevada County, CA",1089616.0,14.0,28.0,135.0,235.0,11.8,14.7,"77,220",39.9469912
"New Castle County, DE",6082166.0,412.0,502.0,301.0,718.0,11.4,14.8,"74,088",502.7696186
"New Hanover County, NC",2422054.0,110.0,147.0,177.0,365.0,11.9,13.2,"66,212",450.4417618
"New Haven County, CT",9451072.0,285.0,401.0,290.0,996.0,12.0,15.5,"75,094",548.8569872
"New London County, CT",2977239.0,27.0,63.0,133.0,395.0,8.9,12.2,"78,552",156.0796361
"New Madrid County, MO",197634.0,12.0,19.0,25.0,40.0,22.1,29.5,"39,778",10.19012491
"New York County, NY",17891713.0,245.0,462.0,89.0,1446.0,17.4,22.7,"84,371",27819.8048
"Newaygo County, MI",532020.0,12.0,16.0,66.0,99.0,14.5,19.8,"57,840",22.15734823
"Newberry County, SC",418093.0,17.0,27.0,50.0,78.0,14.9,23.4,"57,072",23.32888419
"Newport County, RI",907501.0,,14.0,27.0,105.0,9.7,12.7,"85,764",313.1220486
"Newport News city, VA",1986552.0,202.0,250.0,136.0,253.0,15.8,23.0,"58,303",1006.30368
"Newton County, GA",1163528.0,95.0,109.0,118.0,168.0,12.5,21.3,"71,366",150.205821
"Newton County, MO",643592.0,12.0,21.0,63.0,111.0,15.1,21.5,"58,832",35.96925233
"Newton County, MS",236158.0,16.0,26.0,21.0,35.0,20.2,27.8,"45,278",14.38157924
"Newton County, TX",154073.0,11.0,13.0,25.0,35.0,19.8,27.3,"44,030",5.812971257
"Nez Perce County, ID",440634.0,,15.0,84.0,115.0,15.4,16.0,"61,951",18.27603307
"Niagara County, NY",2339226.0,40.0,78.0,140.0,334.0,13.0,19.1,"61,068",156.4831231
"Nicholas County, WV",280148.0,13.0,17.0,47.0,65.0,19.8,25.1,"47,186",15.11587899
"Noble County, IN",523790.0,,10.0,43.0,70.0,9.1,13.1,"65,979",44.59381316
"Nome Census Area, AK",108577.0,,11.0,39.0,79.0,19.8,23.6,"65,578",0.16681479
"Norfolk County, MA",7623285.0,54.0,95.0,104.0,628.0,6.9,6.8,"114,658",680.6297135
"Norfolk city, VA",2688612.0,289.0,348.0,192.0,326.0,16.9,23.1,"56,951",1779.834904
"Northampton County, NC",225257.0,16.0,20.0,24.0,30.0,23.6,36.4,"40,524",14.52336894
"Northampton County, PA",3318419.0,47.0,71.0,217.0,492.0,9.7,12.6,"78,768",315.2131093
"Northampton County, VA",132496.0,,11.0,16.0,22.0,17.6,29.2,"51,059",21.80808623
"Northumberland County, PA",1021534.0,14.0,26.0,78.0,163.0,11.8,17.3,"50,930",77.83131226
"Northwest Arctic Borough, AK",84513.0,,10.0,29.0,53.0,20.9,28.4,"67,586",0.083765592
"Noxubee County, MS",120329.0,13.0,14.0,,,26.8,40.5,"34,467",6.014045636
"Nueces County, TX",3909516.0,191.0,275.0,307.0,540.0,18.2,24.9,"59,337",166.0286344
"Nye County, NV",484864.0,14.0,23.0,113.0,184.0,14.9,24.6,"59,282",0.928097868
"Oakland County, MI",13610026.0,338.0,471.0,761.0,1721.0,7.8,8.6,"86,597",556.7798567
"Obion County, TN",339078.0,,11.0,38.0,50.0,15.5,22.6,"50,021",21.62768778
"Ocean County, NJ",6508356.0,36.0,85.0,201.0,648.0,11.4,19.2,"75,732",363.7218004
"Oconee County, SC",840828.0,34.0,55.0,106.0,150.0,16.4,23.5,"53,432",47.27075452
"Ogle County, IL",569797.0,,13.0,35.0,77.0,8.4,11.7,"74,472",26.1245481
"Ohio County, KY",264741.0,,11.0,25.0,41.0,16.3,21.0,"55,432",15.82514916
"Okaloosa County, FL",2178341.0,60.0,91.0,251.0,422.0,9.7,14.6,"69,053",83.31780277
"Okanogan County, WA",458096.0,11.0,22.0,60.0,95.0,16.0,20.9,"55,233",3.05278394
"Okeechobee County, FL",445472.0,11.0,23.0,41.0,78.0,20.9,30.4,"47,642",20.37434037
"Okfuskee County, OK",133804.0,17.0,19.0,14.0,25.0,26.8,33.0,"36,567",7.562013175
"Oklahoma County, OK",8456094.0,648.0,894.0,903.0,1570.0,16.3,23.9,"57,890",425.9895277
"Okmulgee County, OK",430528.0,37.0,44.0,64.0,93.0,18.0,24.0,"46,411",21.53175106
"Oktibbeha County, MS",540468.0,18.0,25.0,37.0,53.0,22.2,24.5,"43,226",41.69167639
"Olmsted County, MN",1669932.0,13.0,27.0,82.0,178.0,7.7,8.5,"83,656",90.43287249
"Oneida County, NY",2549793.0,55.0,89.0,127.0,294.0,14.2,21.4,"59,804",73.49927817
"Onondaga County, NY",5119027.0,170.0,272.0,169.0,532.0,14.2,19.9,"65,548",230.2773622
"Onslow County, NC",2080467.0,66.0,107.0,230.0,388.0,13.9,18.1,"55,645",98.26201274
"Orange County, CA",34477212.0,433.0,704.0,1134.0,3517.0,9.9,11.0,"100,210",1541.02667
"Orange County, FL",14125526.0,809.0,1033.0,673.0,1457.0,14.9,20.4,"64,579",565.2007179
"Orange County, IN",216050.0,,10.0,23.0,38.0,14.4,21.9,"52,910",18.94466405
"Orange County, NC",1559945.0,24.0,37.0,65.0,160.0,12.2,10.6,"79,814",138.8280019
"Orange County, NY",4165096.0,75.0,121.0,143.0,354.0,12.2,18.0,"88,494",179.7740783
"Orange County, TX",917808.0,37.0,61.0,97.0,160.0,12.5,18.6,"65,908",97.22158024
"Orangeburg County, SC",979958.0,122.0,153.0,82.0,116.0,26.5,41.9,"39,832",30.86966264
"Orleans County, NY",457413.0,,12.0,30.0,53.0,16.1,22.8,"56,140",40.63188004
"Orleans County, VT",297409.0,,10.0,37.0,50.0,12.6,16.7,"54,346",14.98095861
"Orleans Parish, LA",4181884.0,1477.0,1619.0,240.0,451.0,25.2,36.8,"46,188",887.9442128
"Osage County, OK",522327.0,21.0,28.0,72.0,112.0,12.3,18.0,"56,156",8.131074758
"Osceola County, FL",3582223.0,105.0,148.0,191.0,395.0,13.3,20.4,"60,495",98.47136801
"Oswego County, NY",1317094.0,,17.0,72.0,194.0,15.7,23.1,"59,394",48.32299623
"Otero County, CO",203460.0,,10.0,27.0,39.0,19.7,28.7,"45,658",5.606676985
"Otero County, NM",724066.0,29.0,38.0,116.0,198.0,19.9,27.7,"49,845",3.838797533
"Otsego County, NY",667466.0,,12.0,33.0,82.0,13.8,18.3,"61,664",23.22022723
"Ottawa County, MI",3073740.0,16.0,36.0,121.0,294.0,7.5,6.5,"79,402",194.610162
"Ottawa County, OH",450187.0,,10.0,39.0,69.0,8.4,12.3,"71,409",61.70172325
"Ottawa County, OK",348459.0,11.0,17.0,50.0,83.0,20.5,26.8,"45,523",25.88506875
"Otter Tail County, MN",637504.0,,11.0,72.0,115.0,9.5,11.8,"63,741",11.35525316
"Ouachita County, AR",269705.0,11.0,20.0,27.0,41.0,20.2,29.4,"47,169",12.70141532
"Ouachita Parish, LA",1706358.0,155.0,209.0,163.0,239.0,25.5,31.1,"47,737",98.72412134
"Outagamie County, WI",2013621.0,16.0,31.0,147.0,311.0,7.3,8.6,"73,882",111.8825436
"Owen County, IN",231652.0,,12.0,27.0,45.0,11.3,17.9,"57,716",20.9216928
"Page County, VA",262443.0,,10.0,37.0,64.0,13.4,18.0,"53,449",29.57719489
"Palm Beach County, FL",15609807.0,807.0,994.0,1075.0,2382.0,11.6,15.9,"70,024",284.088504
"Palo Pinto County, TX",311969.0,,14.0,34.0,63.0,14.8,22.3,"57,580",11.47789183
"Panola County, MS",377171.0,47.0,55.0,49.0,61.0,22.6,34.1,"42,287",19.2962311
"Panola County, TX",259543.0,12.0,14.0,31.0,43.0,13.5,19.3,"54,244",11.15446361
"Parker County, TX",1417990.0,23.0,38.0,163.0,257.0,7.9,9.5,"85,613",55.47078511
"Pasco County, FL",5562287.0,126.0,194.0,605.0,1132.0,11.6,16.8,"59,555",264.0275519
"Pasquotank County, NC",440987.0,27.0,33.0,33.0,57.0,15.4,22.4,"51,365",67.18498084
"Passaic County, NJ",5557632.0,192.0,258.0,82.0,332.0,14.1,21.3,"74,016",1046.233338
"Paulding County, GA",1700181.0,51.0,62.0,164.0,249.0,7.6,11.1,"89,632",192.6729203
"Pawnee County, OK",181235.0,10.0,14.0,30.0,44.0,14.8,20.0,"52,367",11.16390864
"Payne County, OK",882202.0,17.0,29.0,75.0,122.0,20.7,20.0,"50,651",45.96384754
"Peach County, GA",300343.0,11.0,17.0,35.0,48.0,19.5,30.0,"54,921",69.28779256
"Pearl River County, MS",609712.0,28.0,36.0,68.0,114.0,16.1,22.0,"51,023",26.24515785
"Pemiscot County, MO",189112.0,25.0,30.0,23.0,34.0,23.7,35.5,"36,828",13.34854591
"Pender County, NC",638947.0,18.0,26.0,79.0,124.0,10.8,15.4,"69,555",26.15386784
"Pennington County, SD",1191758.0,21.0,56.0,140.0,261.0,11.6,15.6,"64,387",15.19701245
"Penobscot County, ME",1679587.0,18.0,41.0,175.0,284.0,14.6,15.7,"56,261",17.24666118
"Peoria County, IL",2028020.0,129.0,193.0,106.0,260.0,16.3,22.0,"56,460",115.1201013
"Perquimans County, NC",148371.0,,12.0,11.0,20.0,15.5,27.2,"53,760",21.0264128
"Perry County, AL",106306.0,10.0,12.0,,,33.7,50.3,"31,522",5.089327131
"Perry County, KY",300078.0,22.0,32.0,40.0,48.0,29.9,37.5,"36,528",30.59418111
"Perry County, OH",396503.0,,14.0,39.0,64.0,13.9,21.1,"63,329",34.05914789
"Person County, NC",433612.0,22.0,26.0,63.0,81.0,17.5,25.6,"55,287",38.68063514
"Petersburg city, VA",351426.0,113.0,133.0,28.0,53.0,22.8,35.6,"40,682",540.8614293
"Pettis County, MO",465525.0,11.0,18.0,38.0,68.0,16.1,20.8,"49,333",23.97969004
"Phelps County, MO",492682.0,,19.0,55.0,85.0,18.1,21.8,"49,346",25.74230576
"Philadelphia County, PA",17186412.0,2989.0,3505.0,652.0,1773.0,22.3,32.7,"52,882",4531.771822
"Phillips County, AR",214482.0,77.0,92.0,28.0,35.0,35.7,45.9,"32,419",10.56464774
"Pickaway County, OH",628861.0,12.0,17.0,51.0,95.0,10.2,13.3,"72,652",44.23060638
"Pickens County, AL",219291.0,,11.0,22.0,26.0,21.1,30.1,"43,926",8.891346444
